Aboa Station Antartica;AUTRE;882;;D;;5;456
Ghana;FIXE;233;+10;C;9;15;137;41;36;31;27
Ghana;MOBILE;233;+10;C;9;15;153;45;40;35;31
Gibraltar (Royaume Uni);FIXE;350;+11;B;6;20;102;33;28;23;19
Gibraltar (Royaume Uni);MOBILE;350;+11;B;6;20;119;67;62;57;53
Globalstar;AUTRE;881;;D;;5;456;157;152;147;143
Gréce;FIXE;30;+12;B;6;20;102;32;27;22;18
Gréce;MOBILE;30;+12;B;6;20;119;63;58;53;49
Groénland;FIXE;299;+7;B;6;20;102;87;82;77;73
Groénland;MOBILE;299;+7;B;6;20;119;87;82;77;73
Grenade;FIXE;1473;+6;C;9;15;137;42;37;32;28
Grenade;MOBILE;1473;+6;C;9;15;153;52;47;42;38
Guadeloupe;FIXE;590;+6;B;4;20;102;38;33;28;24
Guadeloupe;MOBILE;590;+6;B;4;20;119;64;59;54;50
Guam;FIXE;1671;+21;B;5;20;102;34;29;24;20
Guam;MOBILE;1671;+21;B;5;20;119;34;29;24;20
Guatemala;FIXE;502;+4;C;9;15;137;44;39;34;30
Guatemala;MOBILE;502;+4;C;9;15;153;49;44;39;35
Guinée (Gonakry);FIXE;224;+10;C;5;15;137;50;45;40;36
Guinée (Conakry);MOBILE;224;+10;C;5;15;153;56;51;46;42
Guinée Bissau;FIXE;245;+10;C;9;15;137;137;137;137;137
Guinée Bissau;MOBILE;245;+10;C;9;15;153;153;153;153;153
Guinée Equatoriale;FIXE;240;+11;C;9;15;137;53;48;43;39
Guinée Equatoriale;MOBILE;240;+11;C;9;15;153;53;48;43;39
Guyana;FIXE;592;+7;C;9;15;137;55;50;45;41
Guyana;MOBILE;592;+7;C;9;15;153;55;50;45;41
Guyane Frangaise;FIXE;594;+7;B;4;20;102;40;35;30;26
Guyane Frangaise;MOBILE;594;+7;B;4;20;119;61;56;51;47
Haiti;FIXE;509;+5;C;9;15;137;50;45;40;36
Haiti;MOBILE;509;+5;C;9;15;153;51;46;41;37
Haiti, Services Spéciaux;AUTRE;509;+5;;;;;67;62;57;53
Hawaii;FIXE;1;+0;A;3;30;68 `
Honduras;FIXE;504;+4;C;9;15;137;55;50;45;41
Honduras;MOBILE;504;+4;C;9;15;153;56;51;46;42
Hong Kong;FIXE;852;+19;B;4;20;102;33;28;23;19
Hong Kong;MOBILE;852;+19;B;4;20;119;33;28;23;19
Hongrie;FIXE;36;+12;C;6;15;137;33;28;23;19
Hongrie;MOBILE;36;+12;C;6;15;153;54;49;44;40
Inde;FIXE;91;+15,5;C;7;15;137;43;38;33;29
Inde;MOBILE;91;+15,5;C;7;15;153;43;38;33;29
Indonésle;FIXE;62;+17;C;7;15;137;38;33;28;24
Indonéie;MOBILE;62;+17;C;7;15;153;43;38;33;29
Inmarsat East Atlantic, A V/D, ;AUTRE
Irak;FIXE;964;+13;C;9;15;137;51;46;41;37
Irak;MOBILE;964;+13;C;9;15;153;68;63;58;54
Iran;FIXE;98;+13;C;9;15;137;51;46;41;37
Iran;MOBILE;98;+13;C;9;15;153;51;46;41;37
Iridium;AUTRE;881;;D;0;5;456;387;382;377;373
Iriande;FIXE;353;+10;B;6;20;102;31;26;21;17; ,
Iriande;MOBILE;353;+10;B;6;20;119;58;53;48;44
Islande;FIXE;354;+10;C;6;15;137;33;28;23;19
Islande;MOBILE;354;+10;C;6;15;153;56;51;46;42
Islande, ZeroNine Mobile;MOBILE;;;;354;+10;;97;92;87;83
Israél;FIXE;972;+12;C;8;15;137;54;49;44;40
Israél;MOBILE;972;+12;C;8;15;153;54;49;44;40
Italie;FIXE;39;+11;B;6;20;102;31;26;21;17
Italie;MOBILE;39;+11;B;6;20;119;62;57;52;48
Jamaique;FIXE;1876;+5;C;9;15;137;38;33;28;24
Jamaioue;MOBILE;1876;+5;C;9;15;153;50;45;40;36
Japon;FIXE;81;+19;A;4;30;68;34;29;24;20
Japon;MOBILE;81;+19;A;4;30;85;44;39;34;30
Jordanie;FIXE;962;+13;C;9;15;137;44;39;34;30
Jordanie;MOBILE;962;+13;C;9;15;153;47;42;37;33
Kazakhstan (Rép du.);FIXE;7;+15a16;C;6;15;137;40;35;30;26
Kazakhstan (Rép du.);MOBILE;7;+15a16;C;6;15;153;49;44;39;35
Kenya;FIXE;254;+13;C;9;15;137;48;43;38;34
Kenya;MOBILE;254;+13;C;9;15;153;86;81;76;72
Kirghizistan (Rép. du);FIXE;996;+15;C;6;15;137;42;37;32;28
Kirghizlstan (Rép. du);MOBILE;996;+15;C;6;15;153;42;37;32;28
Kiribati;FIXE;686;+21;B;5;20;102;86;81;76;72
Kiribati;MOBILE;686;+21;B;5;20;119;86;81;76;72
Koweit;FIXE;965;+13;C;9;15;137;38;33;28;24
Koweit;MOBILE;965;+13;C;9;15;153;38;33;28;24
Laos;FIXE;856;+17;C;7;15;137;36;31;26;22
Laos;MOBILE;856;+17;C;7;15;153;36;31;26;22
Lesotho;FIXE;266;+12;C;9;15;137;55;50;45;41
Lesotho;MOBILE;266;+12;C;9;15;153;55;50;45;41
Lettonie (Rép. De);FIXE;371;+12;C;6;15;137;34;29;24;20
Lettonie (Rép. De);MOBILE;371;+12;C;6;15;153;54;49;44;40
Liban;FIXE;961;+12;C;9;15;137;40;35;30;26
Liban;MOBILE;961;+12;C;9;15;153;49;44;39;35
Libéria;FIXE;231;+10;C;9;15;137;118;113;108;104
Libéria;MOBILE;231;+10;C;9;15;153;66;61;56;52
Libye;FIXE;218;+12;C;9;15;137;54;49;44;40
Libye;MOBILE;218;+12;C;9;15;153;54;49;44;40
Liechtenstein (Suisse);FIXE;423;+11;B;6;20;102;34;29;24;20
Liechtenstein (Suisse);MOBILE;423;+11;B;6;20;119;74;69;64; 60
Lituanie (Rép. de);FIXE;370;+12;C;6;15;137;34;29;24;20
liituanie (Rép. de);MOBILE;370;+12;C;6;15;153;46;41;36;32
Lituanie, Personal;MOBILE;370;+12;C;;15;153;79;74;69;65
Luxembourg;FIXE;352;+11;B;6;20;102;32;27;22;18
Luxembourg;MOBILE;352;+11;B;6;20;119;52;47;42;38
Macao;FIXE;853;+18;C;7;15;137;36;31;26;22
Macao;MOBILE;853;+18;C;7;15;153;36;31;26;22
Macédoine (Anc. Rép. Youg.);FIXE;389;+11;C;6;15;137;47;42;37;33
Macédoine (Anc. Rep. Youg.);MOBILE;389;+11;C;6;15;153;57;52;47;43
Madagascar;FIXE;261;+ 13;C;5;15;137;56;51;46;42
Madagascar;MOBILE;261;+13;C;5;15;153;56;51;46;42
Madagascar Spacemob;MOBILE;261;+13;;;;;129;124;119;115
Malaisie;FIXE;60;+18;C;7;15;137;32;27;22;18
Malaisie;MOBILE;60;+18;C;7;15;153;34;29;24;20
Malawi;FIXE;265;+12;C;9;15;137;41;36;31;27
Malawi;MOBILE;265;+12;C;9;15;153;53;48;43;39
Maldives;FIXE;960;+15;C;7;15;137;58;53;48;44
Maldives;MOBILE;960;+15;C;7;15;153;58;53;48;44
Mali;FIXE;223;+10;C;5;15;137;50;45;40;36
Mali;MOBILE;223;+10;C;5;15;153;57;52;47;43
Malte;FIXE;356;+11;C;6;15;137;42;37;32;28
Malte;MOBILE;356;+11;C;6;15;153;74;69;64;60
Mariannes (Iles);FIXE;1670;+21;B;;20;102;34;29;24;20
Mariannes (Iles);MOBILE;1670;+21;B;;20;119;34;29;24;20
Maroc;FIXE;212;+10;C;5;15;137;52;47;42;38
Maroc;MOBILE;212;+10;C;5;15;153;58;53;48;44
Marshall (Iles);FIXE;692;+21;B;5;20;102;73;68;63;59
Marshall (Iles);MOBILE;692;+21;B;5;20;119;73;68;63;59
Martinique;FIXE;596;+6;B;4;20;102;39;34;29;25
Martinique;MOBILE;596;+6;B;4;20;119;62;57;52; 48
Maurice (Ile);FIXE;230;+14;C;7;15;137;49;44;39;35
Maurioe (Ile);MOBILE;230;+14;C;7;15;153;49;44;39;35
Mauritanie;FIXE;222;+10;C;5;15;137;54;49;44;40
Mauritanie;MOBILE;222;+10;C;5;15;153;54;49;44;40
Mayotte;FIXE;262;+13;B;4;20;102;61;56;51;47
Mayotte;MOBILE;262;+13;B;4;20;119;6;56;51;47
MCP Network;AUTRE;882;;D;;5;456;227;222;217;213
Mexique;FIXE;52;+4;C;8;15;137;38;33;28;24
Mexique;MOBILE;52;+4;C;8;15;153;50;45;40;36
Micronésie;FIXE;691;+10;B;5;20;102;69;64;59;55
Micronésie;MOBILE;691;+ 10;B;5;20;119;69;64;59; 55
Moldavie (Rép. de);FIXE;373;+12;C;6;15;137;40;35;30;26
Moldavie (Rep. de);MOBILE;373;+12;C;6;15;153;58;53;48;44
Monaco (Principauté);FIXE;377;+11;A;4;30;68;33;28;23;19
Monaco (Principauté);MOBILE;377;+11;A;4;30;85;56;51;46;42
Mongolie;FIXE;976;+17;C;7;15;137;43;38;33;29
Mongolie;MOBILE;976;+17;C;7;15;153;45;40;35;31
Montenegro;FIXE;382;+11;;;;;48;43;38;34
Montenegro;MOBILE;382;+11;;;;;57;52;47;43
Montserrat;FIXE;1664;+5;C;9;15;137;49;44;39;35
Montsenat;MOBILE;1664;+5;C;9;15;153;49;44;39;35
Mozambique;FIXE;258;+12;C;9;15;137;46;41;36;32
Mozambique;MOBILE;258;+12;C;9;15;153;55;50;45;41
Myanmar (Union de);FIXE;95;+16;C;7;15;137;60;55;50;46
Myanmar (Union de);MOBILE;95;+16;C;7;15;153;60;55;50;46
Namibie;FIXE;264;+12;C;9;15;137;44;39;34;30
Namibie;MOBILE;264;+12;C;9;15;153;60;55;50;46
Nauru;FIXE;674;+21;B;5;20;102;102;102;102;102
Nauru;MOBILE;674;+21;B;5;20;119;119;119;119;119
Nepal;FIXE;977;+15;C;7;15;137;56;51;46;42
